LOCATION,TIME,TERMTRADE
FRA,2015,100
FRA,2016,100.9852515
FRA,2017,99.67626662
FRA,2018,98.53676313
FRA,2019,99.39090078
FRA,2020,100.2448977
FRA,2021,100.1698802
FRA,2022,97.03687909
DEU,1995,100.1515935
DEU,1996,99.74837892
DEU,1997,98.19937227
DEU,1998,100.2040223
DEU,1999,100.8759586
DEU,2000,96.70092575
DEU,2001,96.72695879
DEU,2002,98.63883815
DEU,2003,100.4826026
DEU,2004,100.6286289
DEU,2005,98.9082263
DEU,2006,97.23888246
DEU,2007,97.71967221
DEU,2008,96.05896336
DEU,2009,100.3583
DEU,2010,98.1232553
DEU,2011,95.59252416
DEU,2012,95.42973929
DEU,2013,96.45905178
DEU,2014,97.70478827
DEU,2015,100
DEU,2016,101.7573645
DEU,2017,100.8959605
DEU,2018,100.1193444
DEU,2019,100.8414433
DEU,2020,102.8117719
DEU,2021,99.84303621
DEU,2022,94.96038518
GRC,1995,89.0074368
GRC,1996,90.99718712
GRC,1997,91.63593543
GRC,1998,92.37609205
GRC,1999,92.74036811
GRC,2000,91.0647729
GRC,2001,91.81898299
GRC,2002,93.14062587
GRC,2003,94.76075941
GRC,2004,94.65451265
GRC,2005,93.79313351
GRC,2006,93.74232452
GRC,2007,94.20486726
GRC,2008,93.126804
GRC,2009,92.49812322
GRC,2010,95.69929301
GRC,2011,94.2890194
GRC,2012,92.68894051
GRC,2013,94.2096052
GRC,2014,95.88503888
GRC,2015,100
GRC,2016,101.178157
GRC,2017,100.4093684
GRC,2018,98.30570975
GRC,2019,97.74202822
GRC,2020,96.947888
GRC,2021,95.9317174
GRC,2022,96.15886963
HUN,1995,102.424204
HUN,1996,101.6028974
HUN,1997,103.5805245
HUN,1998,104.6338557
HUN,1999,104.0249033
HUN,2000,101.9253575
HUN,2001,102.564206
HUN,2002,103.8356071
HUN,2003,103.476299
HUN,2004,103.3191499
HUN,2005,101.5484156
HUN,2006,100.1945502
HUN,2007,100.6193994
HUN,2008,99.73128204
HUN,2009,100.4873507
HUN,2010,100.5205574
HUN,2011,99.13099595
HUN,2012,98.17303787
HUN,2013,98.68122221
HUN,2014,99.29185416
HUN,2015,100
HUN,2016,100.6655392
HUN,2017,100.2234125
HUN,2018,99.29476772
HUN,2019,99.56162224
HUN,2020,101.5959631
HUN,2021,98.48242523
HUN,2022,92.97298072
ISL,1995,113.6129615
ISL,1996,110.0964152
ISL,1997,112.2126834
