DATE,IRLTLT01GBQ156N
2011-01-01,3.78193333333333
2011-04-01,3.56053333333333
2011-07-01,2.867
2011-10-01,2.3345
2012-01-01,2.2175
2012-04-01,1.97436666666667
2012-07-01,1.68266666666667
2012-10-01,1.79763333333333
2013-01-01,2.07813333333333
2013-04-01,2.01163333333333
2013-07-01,2.6747
2013-10-01,2.79466666666667
2014-01-01,2.83613333333333
2014-04-01,2.7416
2014-07-01,2.58696666666667
2014-10-01,2.11163333333333
2015-01-01,1.70653333333333
2015-04-01,1.98296666666667
2015-07-01,1.99886666666667
2015-10-01,1.91576666666667
2016-01-01,1.60996666666667
2016-04-01,1.47196666666667
2016-07-01,0.8411
2016-10-01,1.2978
2017-01-01,1.3067
2017-04-01,1.09366666666667
2017-07-01,1.213
2017-10-01,1.32986666666667
2018-01-01,1.5015
2018-04-01,1.47843333333333
2018-07-01,1.4251
2018-10-01,1.4376
2019-01-01,1.25036666666667
2019-04-01,1.07986666666667
2019-07-01,0.6687
2019-10-01,0.744366666666666
2020-01-01,0.6058
2020-04-01,0.303333333333333
2020-07-01,0.251366666666667
2020-10-01,0.337266666666667
2021-01-01,0.611666666666667
2021-04-01,0.870733333333333
2021-07-01,0.714733333333333
2021-10-01,0.9533
2022-01-01,1.4133
2022-04-01,2.04183333333333
2022-07-01,2.65796666666667
2022-10-01,3.67606666666667
2023-01-01,3.54353333333333
2023-04-01,3.99276666666667
2023-07-01,4.4623
