LOCATION,TIME,SHPRICE
AUT,2009-Q4,101.8695
AUT,2010-Q1,99.50116
AUT,2010-Q2,99.94911
AUT,2010-Q3,98.54308
AUT,2010-Q4,109.4663
AUT,2011-Q1,117.6183
AUT,2011-Q2,114.7565
AUT,2011-Q3,97.17293
AUT,2011-Q4,81.43871
AUT,2012-Q1,90.12074
AUT,2012-Q2,85.41383
AUT,2012-Q3,86.69198
AUT,2012-Q4,93.73067
AUT,2013-Q1,100.7893
AUT,2013-Q2,98.51075
AUT,2013-Q3,98.33917
AUT,2013-Q4,103.5622
AUT,2014-Q1,104.9466
AUT,2014-Q2,102.9942
AUT,2014-Q3,97.44682
AUT,2014-Q4,91.16869
AUT,2015-Q1,97.19886
AUT,2015-Q2,105.1303
AUT,2015-Q3,98.36581
AUT,2015-Q4,99.30507
AUT,2016-Q1,91.81735
AUT,2016-Q2,94.77222
AUT,2016-Q3,96.09869
AUT,2016-Q4,105.1413
AUT,2017-Q1,116.4869
AUT,2017-Q2,127.695
AUT,2017-Q3,134.6449
AUT,2017-Q4,140.2761
AUT,2018-Q1,145.0345
AUT,2018-Q2,142.2679
AUT,2018-Q3,140.0825
AUT,2018-Q4,130.3532
AUT,2019-Q1,127.7358
AUT,2019-Q2,131.0658
AUT,2019-Q3,128.1057
AUT,2019-Q4,133.2967
AUT,2020-Q1,120.3885
AUT,2020-Q2,98.48411
AUT,2020-Q3,99.51714
AUT,2020-Q4,106.3857
AUT,2021-Q1,130.0168
AUT,2021-Q2,143.5468
AUT,2021-Q3,151.0988
AUT,2021-Q4,158.9979
AUT,2022-Q1,153.5325
AUT,2022-Q2,137.7035
AUT,2022-Q3,128.9675
AUT,2022-Q4,129.2303
AUT,2023-Q1,139.4996
AUT,2023-Q2,136.5156
AUT,2023-Q3,136.906
BEL,1995-Q1,28.38951
BEL,1995-Q2,29.84561
BEL,1995-Q3,30.8045
BEL,1995-Q4,31.21736
BEL,1996-Q1,34.36485
BEL,1996-Q2,35.79431
BEL,1996-Q3,36.19385
BEL,1996-Q4,38.65768
BEL,1997-Q1,43.84282
BEL,1997-Q2,47.82933
BEL,1997-Q3,51.27869
BEL,1997-Q4,50.90135
BEL,1998-Q1,58.4926
BEL,1998-Q2,70.24351
BEL,1998-Q3,73.01365
BEL,1998-Q4,67.12266
BEL,1999-Q1,75.01579
BEL,1999-Q2,70.69188
BEL,1999-Q3,66.35021
BEL,1999-Q4,65.79974
BEL,2000-Q1,60.48864
BEL,2000-Q2,61.08762
BEL,2000-Q3,64.71764
BEL,2000-Q4,64.4504
BEL,2001-Q1,61.41266
BEL,2001-Q2,59.47123
BEL,2001-Q3,58.62438
BEL,2001-Q4,56.13896
BEL,2002-Q1,58.55307
BEL,2002-Q2,58.82457
BEL,2002-Q3,48.26602
BEL,2002-Q4,44.25417
BEL,2003-Q1,40.06771
BEL,2003-Q2,43.05544
BEL,2003-Q3,46.22688
BEL,2003-Q4,48.82846
BEL,2004-Q1,54.45946
BEL,2004-Q2,55.99917
BEL,2004-Q3,57.91289
BEL,2004-Q4,65.12083
BEL,2005-Q1,71.10033
BEL,2005-Q2,72.65408
BEL,2005-Q3,77.0946
BEL,2005-Q4,81.11511
BEL,2006-Q1,91.3294
BEL,2006-Q2,90.28528
BEL,2006-Q3,92.39529
BEL,2006-Q4,100.7007
BEL,2007-Q1,106.4441
BEL,2007-Q2,111.5188
BEL,2007-Q3,105.1879
BEL,2007-Q4,102.5507
BEL,2008-Q1,92.11768
BEL,2008-Q2,91.9336
BEL,2008-Q3,74.95177
BEL,2008-Q4,51.76197
BEL,2009-Q1,46.66784
BEL,2009-Q2,50.04076
BEL,2009-Q3,56.85844
BEL,2009-Q4,62.44934
BEL,2010-Q1,63.60386
BEL,2010-Q2,63.40856
BEL,2010-Q3,64.00669
BEL,2010-Q4,67.41561
