LOCATION,TIME,COMPEMPLOYEEACTY
MEX,2014,28.96784968
MEX,2015,29.0294853
MEX,2016,28.35449892
MEX,2017,27.49958513
MEX,2018,27.59628861
MEX,2019,28.2116908
MEX,2020,30.24337253
MEX,2021,29.78085917
SWE,1995,49.70672492
SWE,1996,51.09121944
SWE,1997,50.92570043
SWE,1998,48.57407014
SWE,1999,48.9164147
SWE,2000,50.26069854
SWE,2001,51.73449474
SWE,2002,51.66191355
SWE,2003,51.36609994
SWE,2004,50.57748116
SWE,2005,50.71853539
SWE,2006,49.8597348
SWE,2007,50.59894973
SWE,2008,51.81180849
SWE,2009,53.0921924
SWE,2010,51.19645981
SWE,2011,51.74752858
SWE,2012,53.54358405
SWE,2013,54.01299773
SWE,2014,53.63814418
SWE,2015,52.46376559
SWE,2016,53.28245907
SWE,2017,53.26980188
SWE,2018,53.98881212
SWE,2019,53.39747113
SWE,2020,54.11078404
SWE,2021,52.76203422
SWE,2022,51.07976695
CAN,1995,54.60167801
CAN,1996,54.0704162
CAN,1997,54.29196907
CAN,1998,55.23361438
CAN,1999,54.31225321
CAN,2000,53.72758524
CAN,2001,53.93889687
CAN,2002,54.03737668
CAN,2003,53.30171195
CAN,2004,52.89043619
CAN,2005,52.3797366
CAN,2006,52.88867747
CAN,2007,53.21804443
CAN,2008,52.71403721
CAN,2009,55.27622696
CAN,2010,53.73038307
CAN,2011,53.12015371
CAN,2012,53.98708982
CAN,2013,53.94033436
CAN,2014,53.45800727
CAN,2015,55.30150031
CAN,2016,54.42348589
CAN,2017,53.72521885
CAN,2018,54.0923183
CAN,2019,54.33974552
CAN,2020,55.89495663
CAN,2021,53.91729624
CAN,2022,53.19790624
FIN,1995,54.83930743
FIN,1996,55.32771263
FIN,1997,54.10316957
FIN,1998,53.54153344
FIN,1999,53.84866157
FIN,2000,53.0226753
FIN,2001,52.54669997
FIN,2002,52.99728148
FIN,2003,53.37441381
FIN,2004,52.95433458
FIN,2005,53.77602991
FIN,2006,53.95269239
FIN,2007,52.32969015
FIN,2008,53.56850357
FIN,2009,56.89965172
FIN,2010,55.85104122
FIN,2011,56.21419371
FIN,2012,57.50917016
FIN,2013,57.22078586
FIN,2014,56.57642509
FIN,2015,55.90611121
FIN,2016,55.36836825
FIN,2017,53.42578446
FIN,2018,53.9635782
FIN,2019,54.03080693
FIN,2020,53.61276303
FIN,2021,54.16754803
FIN,2022,53.69678449
GRC,1995,32.12589519
GRC,1996,31.77029509
GRC,1997,32.63978493
GRC,1998,33.02549236
GRC,1999,33.96246138
GRC,2000,34.45960869
GRC,2001,34.6246954
GRC,2002,37.07068766
GRC,2003,37.04455484
GRC,2004,36.69784827
GRC,2005,38.17832288
GRC,2006,37.84884493
GRC,2007,38.21409193
GRC,2008,38.79331871
GRC,2009,39.96146501
GRC,2010,40.69910108
GRC,2011,41.71661455
GRC,2012,40.83838935
GRC,2013,39.0445424
GRC,2014,39.96410718
GRC,2015,39.63812166
GRC,2016,41.38852975
GRC,2017,41.3707891
GRC,2018,42.34923767
GRC,2019,42.60613194
GRC,2020,44.79665442
GRC,2021,43.06390682
GRC,2022,39.6775982
USA,1995,59.04708096
USA,1996,58.73142423
USA,1997,57.07251167
USA,1998,58.15496091
USA,1999,58.26897265
USA,2000,59.23330642
USA,2001,59.13985834
USA,2002,58.25591195
USA,2003,57.56998819
USA,2004,57.14984135
USA,2005,56.31766083
USA,2006,56.3078706
USA,2007,56.52948875
USA,2008,56.63068542
USA,2009,55.45407859
USA,2010,54.56021087
USA,2011,54.6920749
USA,2012,54.68583143
USA,2013,54.47850526
USA,2014,54.76892241
USA,2015,55.34406031
USA,2016,55.34628307
USA,2017,55.56692122
USA,2018,55.48669856
USA,2019,55.65811481
USA,2020,57.02389941
USA,2021,55.80902113
KOR,1995,50.00689679
KOR,1996,51.30598561
KOR,1997,49.23832065
KOR,1998,46.78303155
KOR,1999,45.98809085
KOR,2000,45.97802646
KOR,2001,46.90443939
KOR,2002,46.78164121
KOR,2003,47.61205004
KOR,2004,47.12459371
KOR,2005,48.05058997
KOR,2006,48.6312631
KOR,2007,48.30849159
KOR,2008,48.27250123
KOR,2009,47.93056304
KOR,2010,46.75296057
KOR,2011,47.34415948
KOR,2012,47.86194345
KOR,2013,48.26208483
KOR,2014,48.95146224
KOR,2015,49.32665548
KOR,2016,49.35026604
KOR,2017,49.1010791
KOR,2018,49.99279026
KOR,2019,51.82070232
KOR,2020,52.79458438
KOR,2021,51.85573737
KOR,2022,52.11337718
POL,1995,45.20176632
POL,1996,46.74490647
POL,1997,47.91711863
POL,1998,48.04527055
POL,1999,48.05577419
POL,2000,46.35643558
POL,2001,47.24582949
POL,2002,45.45261707
POL,2003,44.39865655
POL,2004,41.82145549
POL,2005,41.89506044
POL,2006,41.69654927
POL,2007,42.22602584
POL,2008,44.29010488
POL,2009,42.38669712
POL,2010,43.82791267
POL,2011,43.03870701
POL,2012,42.8400437
POL,2013,43.15174068
POL,2014,43.26681892
POL,2015,42.5188998
POL,2016,44.13177221
POL,2017,44.57346347
POL,2018,45.12116939
POL,2019,45.52913557
POL,2020,46.50859423
POL,2021,45.07894331
POL,2022,43.03369582
IRL,1995,48.46363564
IRL,1996,48.75550676
IRL,1997,47.01972551
IRL,1998,45.00647605
IRL,1999,44.59338149
IRL,2000,43.34429046
IRL,2001,43.09639346
IRL,2002,41.62676165
IRL,2003,42.38580667
IRL,2004,43.21772348
IRL,2005,44.24743589
IRL,2006,44.80623574
IRL,2007,45.57234173
IRL,2008,48.89635176
IRL,2009,48.83740801
IRL,2010,45.72147764
IRL,2011,44.15126803
IRL,2012,43.75089485
IRL,2013,42.80872198
IRL,2014,40.78068731
IRL,2015,31.63673607
IRL,2016,32.93814675
IRL,2017,32.04617448
IRL,2018,30.59531432
IRL,2019,30.22791927
IRL,2020,28.44380671
IRL,2021,27.22590027
IRL,2022,25.29130619
CHL,2018,44.39820183
CHL,2019,45.37552163
CHL,2020,43.1293119
CHL,2021,41.35882919
BEL,1995,56.13114174
BEL,1996,56.51581321
BEL,1997,56.25850194
BEL,1998,56.15971016
BEL,1999,56.88120035
BEL,2000,56.23329691
BEL,2001,57.30878084
BEL,2002,58.05707949
BEL,2003,57.43876302
BEL,2004,56.20286401
BEL,2005,55.62479613
BEL,2006,55.64849084
BEL,2007,55.48328723
BEL,2008,57.20934825
BEL,2009,58.44874362
BEL,2010,56.94860751
BEL,2011,57.47248968
BEL,2012,57.90326909
BEL,2013,58.01254015
BEL,2014,57.18559752
BEL,2015,55.75328367
BEL,2016,55.15493863
BEL,2017,55.2144991
BEL,2018,55.21364171
