LOCATION,TIME,QGDP
AUS,2008-Q1,1.005776595
AUS,2008-Q2,0.3290074
AUS,2008-Q3,0.676864901
AUS,2008-Q4,-0.412244161
AUS,2009-Q1,0.923212155
AUS,2009-Q2,0.724369816
AUS,2009-Q3,0.337082888
AUS,2009-Q4,0.765596268
AUS,2010-Q1,0.431602448
AUS,2010-Q2,0.645116572
AUS,2010-Q3,0.682549365
AUS,2010-Q4,0.843066505
AUS,2011-Q1,-0.30015262
AUS,2011-Q2,1.269830471
AUS,2011-Q3,1.364758612
AUS,2011-Q4,1.072041471
AUS,2012-Q1,0.970739636
AUS,2012-Q2,0.724128413
AUS,2012-Q3,0.576151209
AUS,2012-Q4,0.476459773
AUS,2013-Q1,0.466452771
AUS,2013-Q2,0.383995137
AUS,2013-Q3,0.805270864
AUS,2013-Q4,0.804441575
AUS,2014-Q1,0.777343203
AUS,2014-Q2,0.46267593
AUS,2014-Q3,0.436386796
AUS,2014-Q4,0.372170726
AUS,2015-Q1,0.931333997
AUS,2015-Q2,0.079647049
AUS,2015-Q3,1.012804558
AUS,2015-Q4,0.616621011
AUS,2016-Q1,0.906955376
AUS,2016-Q2,0.626050164
AUS,2016-Q3,0.071473653
AUS,2016-Q4,1.070294879
AUS,2017-Q1,0.330189167
AUS,2017-Q2,0.599304313
AUS,2017-Q3,0.930245889
AUS,2017-Q4,0.487001462
AUS,2018-Q1,0.992495226
AUS,2018-Q2,0.714921003
AUS,2018-Q3,0.438767086
AUS,2018-Q4,0.241640866
AUS,2019-Q1,0.565688899
AUS,2019-Q2,0.401594619
AUS,2019-Q3,0.709203244
AUS,2019-Q4,0.531500413
AUS,2020-Q1,-0.207851303
AUS,2020-Q2,-6.713785015
AUS,2020-Q3,3.788415415
AUS,2020-Q4,3.349996508
AUS,2021-Q1,2.129787678
AUS,2021-Q2,0.676470255
AUS,2021-Q3,-2.081502347
AUS,2021-Q4,3.88480599
AUS,2022-Q1,0.619193903
AUS,2022-Q2,0.723268248
AUS,2022-Q3,0.674356247
AUS,2022-Q4,0.652830803
AUS,2023-Q1,0.372295866
AUS,2023-Q2,0.355691512
ISL,1995-Q1,-3.038325675
ISL,1995-Q2,2.392841152
ISL,1995-Q3,-0.73708424
ISL,1995-Q4,0.43444854
ISL,1996-Q1,3.93734345
ISL,1996-Q2,0.400616533
ISL,1996-Q3,-1.705727151
ISL,1996-Q4,2.503593562
ISL,1997-Q1,3.970202127
ISL,1997-Q2,0.658983561
ISL,1997-Q3,-1.143248789
ISL,1997-Q4,2.856521738
ISL,1998-Q1,-2.343246005
ISL,1998-Q2,9.728756719
ISL,1998-Q3,-0.253252639
ISL,1998-Q4,3.40791765
ISL,1999-Q1,-0.275675719
ISL,1999-Q2,-2.589813488
ISL,1999-Q3,0.950138212
ISL,1999-Q4,4.514361318
ISL,2000-Q1,-0.178312654
ISL,2000-Q2,0.779596748
ISL,2000-Q3,3.136731928
ISL,2000-Q4,-0.811267932
ISL,2001-Q1,0.050093571
ISL,2001-Q2,3.121078229
ISL,2001-Q3,-2.141796629
ISL,2001-Q4,6.232300092
ISL,2002-Q1,-6.525326253
ISL,2002-Q2,3.786823256
ISL,2002-Q3,-0.466007215
ISL,2002-Q4,2.218065623
ISL,2003-Q1,0.972797339
ISL,2003-Q2,-2.923784672
ISL,2003-Q3,0.476707157
ISL,2003-Q4,3.274583465
ISL,2004-Q1,3.826830397
ISL,2004-Q2,-1.077668806
ISL,2004-Q3,4.675958411
ISL,2004-Q4,1.430445843
ISL,2005-Q1,-2.926750509
ISL,2005-Q2,7.159846058
ISL,2005-Q3,0.341520382
ISL,2005-Q4,1.815226053
ISL,2006-Q1,-0.230883559
ISL,2006-Q2,3.78191499
ISL,2006-Q3,0.131199135
ISL,2006-Q4,1.205511668
ISL,2007-Q1,2.100686889
ISL,2007-Q2,4.450980348
ISL,2007-Q3,-0.612551544
ISL,2007-Q4,4.748796982
ISL,2008-Q1,-2.633485035
ISL,2008-Q2,2.494621158
ISL,2008-Q3,-4.991937131
ISL,2008-Q4,5.449321354
ISL,2009-Q1,-9.977437332
ISL,2009-Q2,-0.542510182
ISL,2009-Q3,2.185127909
ISL,2009-Q4,-0.600910116
ISL,2010-Q1,-6.284894702
ISL,2010-Q2,3.949417079
ISL,2010-Q3,-1.530884201
ISL,2010-Q4,3.951878834
ISL,2011-Q1,-4.721311898
ISL,2011-Q2,2.948033139
ISL,2011-Q3,1.917734243
ISL,2011-Q4,1.730925202
ISL,2012-Q1,-3.733059097
ISL,2012-Q2,1.440968018
ISL,2012-Q3,0.890416827
ISL,2012-Q4,1.621509267
ISL,2013-Q1,0.434687659
ISL,2013-Q2,1.427057985
ISL,2013-Q3,0.208441654
ISL,2013-Q4,3.406348478
ISL,2014-Q1,-3.030663758
ISL,2014-Q2,-0.081670913
ISL,2014-Q3,3.969860224
ISL,2014-Q4,-0.419577495
ISL,2015-Q1,-1.836486951
ISL,2015-Q2,6.098437891
ISL,2015-Q3,-0.621562754
ISL,2015-Q4,1.759946615
ISL,2016-Q1,-3.15261211
ISL,2016-Q2,6.964564518
ISL,2016-Q3,1.732354786
ISL,2016-Q4,3.558384348
ISL,2017-Q1,-4.253423111
ISL,2017-Q2,3.621605137
ISL,2017-Q3,-0.40207011
ISL,2017-Q4,3.62458298
ISL,2018-Q1,-0.063210516
ISL,2018-Q2,2.438797724
ISL,2018-Q3,-1.604772632
ISL,2018-Q4,2.027512081
ISL,2019-Q1,0.392563569
ISL,2019-Q2,0.502119338
ISL,2019-Q3,-1.67650798
ISL,2019-Q4,2.533740422
ISL,2020-Q1,-5.248448211
ISL,2020-Q2,-7.33874595
ISL,2020-Q3,3.757206902
ISL,2020-Q4,2.351336981
ISL,2021-Q1,-1.60656538
ISL,2021-Q2,3.23359118
ISL,2021-Q3,2.830413245
ISL,2021-Q4,2.258272794
ISL,2022-Q1,0.749040317
ISL,2022-Q2,3.900608553
ISL,2022-Q3,-2.228749087
ISL,2022-Q4,2.69723817
ISL,2023-Q1,1.558343875
ISL,2023-Q2,2.189781222
GBR,1995-Q1,0.250800926
GBR,1995-Q2,0.182819088
GBR,1995-Q3,1.001778287
GBR,1995-Q4,0.178658391
GBR,1996-Q1,0.404140934
GBR,1996-Q2,0.039821691
GBR,1996-Q3,1.063589112
GBR,1996-Q4,0.99572411
GBR,1997-Q1,1.532448804
GBR,1997-Q2,1.061110574
GBR,1997-Q3,0.934035136
GBR,1997-Q4,1.45499958
GBR,1998-Q1,0.600514803
GBR,1998-Q2,0.532167608
GBR,1998-Q3,0.300977384
GBR,1998-Q4,0.625417867
GBR,1999-Q1,0.71753313
GBR,1999-Q2,0.404129602
GBR,1999-Q3,1.680630967
GBR,1999-Q4,1.44958507
GBR,2000-Q1,1.161303589
GBR,2000-Q2,0.654921704
GBR,2000-Q3,0.510036966
GBR,2000-Q4,0.429040478
GBR,2001-Q1,0.856367003
GBR,2001-Q2,0.366006178
GBR,2001-Q3,0.460117524
GBR,2001-Q4,0.162426854
GBR,2002-Q1,0.347322027
GBR,2002-Q2,0.525863509
GBR,2002-Q3,0.725898944
GBR,2002-Q4,0.838067847
GBR,2003-Q1,0.633321254
GBR,2003-Q2,0.856305203
