DATE,CLIR
5/1/18,10.31
6/1/18,10.31
7/1/18,10.31
8/1/18,10.08
9/1/18,10.08
10/1/18,10.08
11/1/18,10.65
12/1/18,10.65
1/1/19,10.65
2/1/19,10.36
3/1/19,10.36
4/1/19,10.36
5/1/19,10.63
6/1/19,10.63
7/1/19,10.63
8/1/19,10.07
9/1/19,10.07
10/1/19,10.07
11/1/19,10.21
12/1/19,10.21
1/1/20,10.21
2/1/20,9.63
3/1/20,9.63
4/1/20,9.63
5/1/20,9.5
6/1/20,9.5
7/1/20,9.5
8/1/20,9.26
9/1/20,9.26
10/1/20,9.26
11/1/20,9.65
12/1/20,9.65
1/1/21,9.65
2/1/21,9.46
3/1/21,9.46
4/1/21,9.46
5/1/21,9.58
6/1/21,9.58
7/1/21,9.58
8/1/21,9.39
9/1/21,9.39
10/1/21,9.39
11/1/21,9.09
12/1/21,9.09
1/1/22,9.09
2/1/22,9.39
3/1/22,9.39
4/1/22,9.39
5/1/22,8.73
6/1/22,8.73
7/1/22,8.73
8/1/22,10.16
9/1/22,10.16
10/1/22,10.16
11/1/22,11.21
12/1/22,11.21
1/1/23,11.21
2/1/23,11.48
3/1/23,11.48
4/1/23,11.48
5/1/23,11.48
6/1/23,11.48
7/1/23,11.48
8/1/23,12.17
