Reference area,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023
RO:Romania,1588.823333,1454.27,1378.923333,1203.246667,1073.656667,1030.526667,964.06,872.336667,515.726667,474.846667,476.7,448.486667,445.88,431.503333,413.736667,358.236667,295.203333,255.213333,243.37,227.576667,219.596667,211.666667,196.656667,183.336667,166.08,164.966667,155.98,148.6,145.27,135.96,130.756667,127.466667,122.31,117.76,117.276667,111.643333,110.166667,109.12,108.526667,112.636667,120.46,122.503333,124.62,120.296667,122.68,126.246667,126.06,127.956667,131.483333,135.673333,137.803333,129.696667,122.176667,124.253333,125.143333,117.793333,107.903333,109.683333,108.88,108.336667,110.25,106.356667,104.526667,104.336667,105.95,109.2,106.163333,104.646667,102.78,100.76,97.563333,98.316667,102.383333,102.34,102.386667,102.9,102.763333,104.23,103.78,102.806667,100.55,100.006667,101.726667,101.166667,101.42,101.48,102.273333,101.343333,101,100.66,101.403333,100.96,100.613333,100.986667,102.636667,101.966667,99.673333,99.713333,100.07,99.15,98.856667,99.643333,100.77,100.73,100.166667,99.586667,99.02,99.076667,99.673333,99.48,99.986667,101.003333,101.73,101.95,103.643333
NL:Netherlands,93.973333,96.023333,95.143333,95.946667,95.123333,93.666667,94.163333,93,90.673333,89.66,88.186667,90.45,90.836667,91.573333,93.213333,94.97,93.846667,91.89,91.323333,90.543333,88.81,87.32,86.726667,85.99,88.843333,87.693333,88.53,88.92,88.453333,89.673333,91.686667,92.396667,94.76,96.596667,96.17,97.456667,98.696667,97.546667,98.043333,99.456667,99.243333,97.98,96.976667,96.27,96.23,97.563333,98.053333,98.066667,98.316667,98.94,99.213333,100.47,101.233333,102.5,101.356667,99.106667,100.403333,101.13,101.943333,102.6,99.976667,96.84,96.626667,97.743333,97.5,98.946667,98.293333,97.513333,96.03,95.55,94.466667,95.583333,96.86,96.946667,98.033333,98.923333,99.653333,99.51,98.273333,97.436667,94.71,93.706667,95.076667,95.07,96.166667,96.37,96.373333,96.126667,95.716667,96.436667,98.543333,98.683333,99.323333,98.916667,99.646667,99.273333,98.526667,98.506667,98.57,98.22,98.32,99.456667,101.073333,101.146667,100.853333,100.916667,100.343333,99.56,99.246667,98.37,97.53,98.883333,100.003333,101.09,102.106667
NO:Norway,120.78,121.77,122.263333,122.203333,122.14,121.77,122.443333,123.133333,126.606667,121.063333,118.47,123.016667,120.603333,120.01,118.426667,116.703333,117.553333,120.44,119.68,119.016667,117.966667,114.57,115.483333,115.713333,117.44,118.956667,120.44,121.51,123,129.303333,133.976667,136.013333,134.543333,130.116667,125.016667,126.51,121.97,126.156667,124.683333,128.743333,127.833333,129.766667,131.703333,131.186667,128.53,133.136667,129.74,126.293333,128.296667,130.03,133.463333,135.49,135.573333,137.64,134.346667,120.253333,122.873333,124.733333,126.626667,132.486667,133.086667,131.853333,130.536667,130.086667,132.963333,135.096667,135.536667,134.556667,135.113333,134.986667,135.55,137.83,138.15,135.03,130.983333,127.233333,126.47,128.696667,126.18,120.333333,114.79,115.69,110.1,107.476667,106.706667,109.403333,110.013333,113.223333,113.113333,109.516667,111.816667,109.093333,109.63,110.536667,111.343333,110.09,108.233333,108.89,107.623333,104.673333,101.306667,96.99,101.35,100.36,104.683333,106.6,103.696667,106.593333,107.106667,105.473333,104.416667,102.8,98.426667,93.94,97.193333
RS:Serbia,4212.246667,4417.313333,4342.546667,3028.9,1334.546667,1335.173333,1363.666667,1367.876667,1397.793333,1396.016667,1389.28,1414.213333,1418.5,791.986667,805.553333,844.393333,853.26,849.226667,847.583333,849.886667,844.183333,834.99,832.5,609.643333,169.466667,167.06,167.5,167.4,166.053333,166.446667,168.913333,168.476667,167.583333,164.26,162.653333,159.873333,156.653333,152.126667,147.09,140.99,134.686667,131.026667,126.756667,123.573333,121.46,122.91,128.966667,134.5,133.693333,132.163333,133.97,137.096667,131.486667,134.696667,139.853333,126.683333,117.336667,117.183333,118.51,117.573333,110.7,105.706667,101.796667,101.236667,103.563333,108.553333,106.626667,106.713333,99.56,94.296667,90.92,94.283333,96.51,96.126667,95.45,95.983333,95.833333,95.783333,93.746667,91.363333,89.066667,89.01,90.68,90.326667,89.963333,89.72,89.48,89.516667,89.023333,90.01,93.833333,94.67,95.69,96.32,97.916667,97.413333,96.896667,97.333333,97.55,97.536667,97.93,99.533333,100.983333,101.56,101.153333,101.563333,101.11,101.42,102.33,101.516667,101.206667,102.52,103.73,104.873333,107.263333
BA:Bosnia & Herzegovina,67.123333,68.42,67.67,68.033333,67.76,67.28,67.66,67.18,66.74,66.606667,66.233333,66.79,66.93,72.866667,73.3,74.43,74.486667,74.29,74.196667,74.283333,74.006667,73.716667,73.99,77.086667,85.566667,85.666667,85.926667,86.173333,85.733333,85.943333,87.27,87.41,88.486667,89.236667,89.253333,90.096667,90.663333,90.576667,90.82,91.43,91.536667,91.35,90.953333,90.816667,90.776667,91.473333,91.533333,90.866667,90.92,91.12,91.026667,91.29,91.94,92.313333,90.993333,91.696667,93.976667,93.823333,93.98,94.446667,93.533333,92.623333,94.623333,93.1,93.02,93.513333,93.72,93.736667,92.97,93.176667,92.546667,92.87,93.473333,93.41,94.25,94.876667,95.75,95.64,95.093333,94.56,93.073333,92.3,93.426667,93.54,94.413333,94.626667,94.723333,94.77,94.876667,95.073333,96.26,96.613333,96.993333,97.34,98.77,98.48,97.876667,98.12,98.143333,98,98.27,99.566667,100.82,101.346667,101.006667,101.333333,101.06,101.45,102.133333,101.986667,101.796667,102.693333,103.473333,104.653333,106.526667
CH:Switzerland,61.176667,63.556667,63.213333,65.23,64.44,62.883333,63.52,60.796667,57.33,58.15,58.383333,60.426667,60.753333,59.8,60.883333,63.513333,62.853333,61.583333,61.163333,60.773333,59.403333,60.053333,60.34,60.92,62.206667,61.603333,63.106667,64.84,64.563333,65.84,67.403333,67.783333,69.44,68.23,66.666667,67.133333,67.37,67.996667,68.38,69.453333,68.636667,68.013333,66.913333,66.746667,66.24,66.95,66.75,66.12,65.383333,64.526667,64.71,65.04,68.103333,68.516667,67.71,69.886667,72.033333,71.736667,72.05,73.06,73.363333,73.803333,78.076667,79.553333,81.73,85.443333,91.283333,85.636667,85.743333,85.75,84.563333,85.4,85.193333,85.056667,85.833333,87.123333,88.276667,88.456667,87.73,87.086667,94.44,96.363333,94.853333,93.64,93.773333,94.12,94.57,94.923333,95.44,95.116667,93.416667,91.003333,91.696667,90.386667,93.333333,93.51,93.043333,93.413333,96.04,95.706667,98.423333,100.11,100.783333,100.69,99.383333,98.74,99.43,101.11,102.31,102.05,106.38,106.836667,107.32,110.076667,113.17
CL:Chile,131.126667,137.633333,138.71,133.07,134.63,136.74,135.93,134.473333,139.096667,140.63,143.896667,143.603333,141.39,140.326667,137.36,134.52,134.11,135.24,128.63,123.403333,130.876667,131.57,125.09,123.75,123.376667,120.416667,109.29,106.486667,113.2,117.21,109.453333,109.55,103.463333,103.233333,105.713333,114.823333,119.92,113.983333,113.526667,116.356667,117.57,117.523333,124.176667,131.476667,130.036667,128.12,124.596667,126.05,122.363333,123.15,123.233333,123.746667,131.42,127.383333,117.16,103.18,110.446667,114.816667,116.12,119.63,121.12,120.673333,123.64,128.123333,126.816667,127.323333,127.196667,119.856667,125.366667,125.676667,129.91,129.676667,131.22,129.156667,124.546667,121.633333,115.246667,114.626667,110.893333,110.303333,110.14,112.326667,105.126667,103.586667,105.063333,106.833333,109.793333,111.953333,114.206667,111.27,112.326667,114.04,117.07,115.996667,113.64,112.49,113.253333,111.896667,110.096667,103.603333,98.216667,98.62,101.463333,101.7,105.98,107.393333,100.553333,95.076667,97.006667,96.216667,90.973333,93.66,102.67,104.756667,100.536667
KR:Korea,126.213333,124.443333,128.61,131.233333,131.17,131.846667,127.08,125.943333,124.91,121.963333,123.103333,102.93,74.07,86.036667,92.323333,91.13,98.486667,100.546667,99.013333,99.47,104.95,107.353333,108.766667,106.116667,98.02,97.943333,98.61,99.386667,98.986667,101.446667,104.683333,103.216667,102.35,99.98,102.77,99.146667,98.303333,100.606667,101.15,104.24,110.246667,113.42,112.266667,113.183333,118.986667,120.52,119.736667,121.176667,120.26,120.206667,118.66,116.06,108.506667,99.893333,96.9,78.463333,76.366667,83.246667,84.126667,87.41,90.316667,90.186667,87.09,88.323333,88.683333,89.803333,89.3,86.19,87.276667,86.583333,88.336667,90.97,92.65,90.626667,92.476667,96.156667,96.393333,100.406667,101.16,98.603333,101.113333,101.75,97.293333,99.54,96.606667,97.88,101.88,101.263333,102.643333,103.14,100.566667,103.046667,103.07,103.81,103.876667,104.643333,103.366667,100.48,99.156667,100.92,99.58,98.873333,98.94,102.61,101.703333,101.356667,98.773333,97.573333,96.413333,95.75,93.396667,93.873333,96.553333,94.723333,97.096667
CN:China,62.9,60.816667,63.126667,64.48,65.646667,66.273333,66.65,67.52,70.12,70.633333,71.836667,74.9,79.063333,79.216667,80.376667,76.926667,77.426667,78.923333,77.983333,76.706667,77.65,78.83,79.806667,81.676667,82.663333,85.013333,84.6,84.963333,86.85,84.663333,82.07,82.553333,80.533333,79.043333,78.783333,76.276667,74.726667,75.993333,75.713333,73.25,72.026667,73.11,75.64,77.543333,76.666667,75.65,76.1,76.656667,77.336667,77.19,77.433333,76.51,77.796667,79.31,82.76,89.61,91.383333,88.783333,85.87,83.463333,84.726667,86.883333,86.03,84.59,84.85,83.88,85.146667,88.983333,89.813333,90.906667,90.676667,91.11,92.836667,95.87,97.13,96.866667,97.843333,94.84,97.076667,102.156667,105.606667,106.766667,107.66,107.32,105.413333,102.77,100.093333,100.4,100.066667,98.51,99.283333,100.296667,101.67,103.423333,99.463333,98.933333,100.75,100.473333,98.09,97.66,99.4,99.556667,99.256667,101.78,103.25,104.13,105.366667,108.566667,110.753333,110.19,110.39,107.12,107.78,105.706667,103.783333
GR:Greece,89.55,89.833333,88.92,87.903333,87.456667,89.28,90.796667,91.266667,92.36,90.91,90.8,92.836667,91.603333,86.406667,89.296667,90.696667,92.526667,90.8,90.233333,88.996667,86.9,84.963333,84.21,83.33,86.063333,85.696667,86.486667,86.883333,86.493333,87.446667,89.06,89.64,91.55,92.936667,92.336667,93.493333,94.35,93.566667,93.973333,94.876667,94.426667,93.546667,92.86,92.476667,92.303333,93.316667,93.74,93.613333,93.756667,94.086667,94.193333,95.046667,95.886667,97.116667,96.096667,95.506667,96.823333,97.013333,97.56,98.01,95.97,93.77,93.746667,94.49,94.463333,95.366667,95.213333,94.996667,93.793333,93.466667,92.726667,93.34,93.99,94.083333,94.933333,95.5,96.296667,95.96,95.033333,94.513333,92.426667,91.71,93.136667,93.106667,94.223333,94.406667,94.336667,94.343333,94.306667,94.776667,96.42,96.726667,97.253333,97.38,98.873333,98.473333,97.84,98.166667,98.13,97.94,98.186667,99.49,101.02,101.296667,100.886667,101.39,100.99,101.23,101.913333,101.43,101.076667,102.37,103.356667,104.723333,106.54
