Country,Time,ngdpsa,hdisa,gssa,compsa,emplsa,sharep,neer,tot,hpi,ir_mort,ir_cons,oecd,imfdeveloped,eu,ea
Transformation,,gr,gr,gr,gr,gr,gr,gr,gr,gr,n,n,n,n,n,n
SA,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Reciprocal,,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
DNK,10/31/22,0.50928716,0.98,7.168912527,55.15910184,3012.303,177.9904,99.269167,103.9863731,151.489225,3.307,1.9,,,,
DNK,1/31/23,0.735889452,3.33,,,3030.462,195.0444,,,,3.975,2.25,,,,
DNK,4/30/23,0.315772817,-1.63,,,3004.072,205.3368,,,,4.643,3,,,,
ESP,4/30/18,0.585880251,0.34,1.396291686,50.12502065,19304.59,92.44191,98.500834,99.28559972,88.127325,1.98,1.99,,,,
ESP,7/31/18,0.52041551,0.38,1.396291686,50.12502065,19402.15,89.81604,98.500834,99.28559972,88.127325,1.89,1.87,,,,
ESP,10/31/18,0.659258956,1.4,1.396291686,50.12502065,19529.87,83.32016,98.500834,99.28559972,88.127325,2,1.84,,,,
ESP,1/31/19,0.608861527,0.9,4.105222755,51.3620079,19651.27,84.89809,98.170833,99.13430792,92.686875,2.09,1.96,,,,
ESP,4/30/19,0.346200217,1.87,4.105222755,51.3620079,19885.09,86.7626,98.170833,99.13430792,92.686875,2.15,1.98,,,,
ESP,7/31/19,0.295000101,-1.21,4.105222755,51.3620079,19763.9,83.65209,98.170833,99.13430792,92.686875,1.98,1.77,,,,
ESP,10/31/19,0.217169436,0.37,4.105222755,51.3620079,19816.34,86.33318,98.170833,99.13430792,92.686875,1.82,1.77,,,,
ESP,1/31/20,-5.48725517,-1.62,13.7396403,54.91173124,19741.06,81.06324,99.999167,101.2472847,94.7604,1.81,2.21,,,,
ESP,4/30/20,-17.82625592,-7.72,13.7396403,54.91173124,18759.61,64.12774,99.999167,101.2472847,94.7604,1.72,1.79,,,,
ESP,7/31/20,16.63793363,11.23,13.7396403,54.91173124,19081.5,64.81197,99.999167,101.2472847,94.7604,1.75,1.69,,,,
ESP,10/31/20,-0.058975087,-2.45,13.7396403,54.91173124,19226.92,69.02163,99.999167,101.2472847,94.7604,1.71,1.65,,,,
ESP,1/31/21,-0.228663315,-0.81,9.562398487,54.19915667,19329.48,76.36524,100.7425,100.5518196,98.246,1.56,2.15,,,,
ESP,4/30/21,1.352205559,0.56,9.562398487,54.19915667,19726.32,82.23612,100.7425,100.5518196,98.246,1.52,2.07,,,,
ESP,7/31/21,3.108188446,3.28,9.562398487,54.19915667,19906.33,80.49223,100.7425,100.5518196,98.246,1.44,1.55,,,,
ESP,10/31/21,2.26529089,-1.52,9.562398487,54.19915667,20132.17,80.06898,100.7425,100.5518196,98.246,1.46,1.59,,,,
ESP,1/31/22,-0.573839954,-3.66,,52.46656419,20261.9,78.52036,100.1,93.56486283,105.51645,1.44,1.87,,,,
ESP,4/30/22,2.791828726,-0.52,,52.46656419,20402.28,78.3112,100.1,93.56486283,105.51645,1.55,1.84,,,,
ESP,7/31/22,0.387178437,-1.32,,52.46656419,20445.16,73.82452,100.1,93.56486283,105.51645,1.8,1.67,,,,
ESP,10/31/22,0.414004686,5.11,,52.46656419,20452.96,73.76313,100.1,93.56486283,105.51645,2.51,2.6,,,,
ESP,1/31/23,0.520072656,1.81,,,20603.87,83.3399,,,,3.19,3.71,,,,
ESP,4/30/23,0.420518918,0.37,,,20934.08,85.27568,,,,3.61,4.35,,,,
NOR,4/30/18,0.300808205,0.53,5.926761424,51.46718589,2680.036,148.2753,110.4,104.0916746,149.035625,2.42,,,,,
NOR,7/31/18,0.6300102,-1.5,5.926761424,51.46718589,2689.539,154.0787,110.4,104.0916746,149.035625,2.45,0.7,,,,
NOR,10/31/18,0.033674237,1.92,5.926761424,51.46718589,2706.255,147.7554,110.4,104.0916746,149.035625,2.55,0.74,,,,
NOR,1/31/19,-0.443113704,0.26,7.060547059,54.19282643,2700.87,145.8166,107.355,95.50493401,152.72965,2.51,0.78,,,,
NOR,4/30/19,0.859924439,1.03,7.060547059,54.19282643,2703.369,148.404,107.355,95.50493401,152.72965,2.65,0.84,,,,
NOR,7/31/19,0.568205142,-0.59,7.060547059,54.19282643,2729.727,145.34,107.355,95.50493401,152.72965,2.81,0.92,,,,
NOR,10/31/19,0.828953858,-0.08,7.060547059,54.19282643,2728.234,151.0397,107.355,95.50493401,152.72965,2.97,1.03,,,,
NOR,1/31/20,-1.316029175,-0.7,12.8832977,56.82365319,2735.753,141.9355,100.001667,80.08532722,159.235025,3.02,1.09,,,,
NOR,4/30/20,-5.342636369,1.59,12.8832977,56.82365319,2681.652,128.5604,100.001667,80.08532722,159.235025,2.23,0.94,,,,
NOR,7/31/20,4.264227535,-0.52,12.8832977,56.82365319,2684.106,139.6004,100.001667,80.08532722,159.235025,1.82,0.37,,,,
